sigla_uf,area_ha,categoria,ano,Municipio,nome,geocodigo
AM,23.62487573234,não autorizada,2023,,Novo Aripuanã,1303304
AM,2.29755104029,não autorizada,2023,,Lábrea,1302405
AM,10.7131414164,não autorizada,2023,,Itapiranga,1302009
AM,54.3129005435,não autorizada,2023,,Lábrea,1302405
AM,59.39791698513,não autorizada,2023,,Guajará,1301654
AM,14.98620686139,não autorizada,2023,,Lábrea,1302405
AM,33.88663516279,não autorizada,2023,,Humaitá,1301704
AM,139.57836738402,não autorizada,2023,,Lábrea,1302405
AM,15.05352282366,não autorizada,2023,,Lábrea,1302405
AM,1647.76777069481,não autorizada,2023,,Manicoré,1302702
AM,448.78031942999,não autorizada,2023,,Lábrea,1302405
AM,272.26914547802,não autorizada,2023,,Lábrea,1302405
AM,133.46812386807,autorizada,2023,,Lábrea,1302405
AM,54.68286528921,autorizada,2023,,Itapiranga,1302009
AM,98.19404767437,autorizada,2023,,Itapiranga,1302009
AM,253.09999371272,autorizada,2023,,Itapiranga,1302009
AM,485.07053318155,autorizada,2023,,Humaitá,1301704
AM,21.78263166356,autorizada,2023,,Humaitá,1301704
AM,672.8317031812,autorizada,2023,,Itapiranga,1302009
AM,123.19635987067,autorizada,2023,,Lábrea,1302405
AM,2954.10429085898,autorizada,2023,,Silves,1304005
AM,2954.10429085898,autorizada,2023,,Itapiranga,1302009
AM,66.68091259887,autorizada,2023,,Canutama,1300904
AM,25.46141049755,autorizada,2023,,Lábrea,1302405
AM,73.58355434255,autorizada,2023,,Lábrea,1302405
AM,125.77421686643,autorizada,2023,,Lábrea,1302405
AM,260.93387480594,autorizada,2023,,Manicoré,1302702
AM,520.49953112766,autorizada,2023,,Novo Aripuanã,1303304
AM,108.46469388641,autorizada,2023,,Lábrea,1302405
AM,172.64875691141,autorizada,2023,,Manicoré,1302702
AM,207.23022971334,autorizada,2023,,Itapiranga,1302009
AM,1901.37602983453,autorizada,2023,,Silves,1304005
AM,310.50488790564,autorizada,2023,,Lábrea,1302405
AM,351.21771417203,autorizada,2023,,Lábrea,1302405
AM,178.92559089371,autorizada,2023,,Lábrea,1302405
AM,500.55393702635,autorizada,2023,,Humaitá,1301704
AM,6.91868190346,autorizada,2023,,Lábrea,1302405
AM,6.47587412941,autorizada,2023,,Lábrea,1302405
AM,16.51382654466,autorizada,2023,,Lábrea,1302405
AM,21.56519409456,autorizada,2023,,Lábrea,1302405
AM,85.93149105018,autorizada,2023,,Lábrea,1302405
MT,647.86850504822,autorizada,2018,Peixoto de Azevedo,Peixoto de Azevedo,5106422
MT,485.34187721715,autorizada,2018,Peixoto de Azevedo,Peixoto de Azevedo,5106422
MT,350.54793676148,autorizada,2018,Marcelândia,Marcelândia,5105580
MT,21.43236131658,autorizada,2018,Marcelândia,Marcelândia,5105580
MT,746.84480262707,autorizada,2018,Marcelândia,Marcelândia,5105580
MT,222.18373917586,autorizada,2018,Cláudia,Cláudia,5103056
MT,378.67443706296,autorizada,2018,União do Sul,União do Sul,5108303
MT,1125.19414728739,autorizada,2018,União do Sul,União do Sul,5108303
MT,238.01290054214,autorizada,2018,Cláudia,Cláudia,5103056
MT,843.99045766159,autorizada,2018,Cláudia,Cláudia,5103056
MT,294.7582786234,autorizada,2018,Cláudia,Cláudia,5103056
MT,349.3444494686,autorizada,2018,União do Sul,União do Sul,5108303
MT,187.08832890325,autorizada,2018,União do Sul,União do Sul,5108303
MT,85.99623889484,autorizada,2018,União do Sul,União do Sul,5108303
MT,141.23029883044,autorizada,2018,União do Sul,União do Sul,5108303
MT,78.84917736882,autorizada,2018,União do Sul,União do Sul,5108303
MT,414.82196629917,autorizada,2018,União do Sul,União do Sul,5108303
MT,149.96847915379,autorizada,2018,União do Sul,União do Sul,5108303
MT,1894.64089466791,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,350.43153674177,autorizada,2018,Santa Carmem,Santa Carmem,5107248
